entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"RECIBO","TipoComprobante","Recibo","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=13",F,""
"RECIBO","MonedaComprobante","Recibo","Moneda",F,"C",10,0,"CODIGO",F,"MONEDA",F,"=goParametros.Felino.Generales.MonedaSistema",F,""
"RECIBO","ComprobanteFiscal","Recibo","FCOMPFIS",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"RECIBO","CompAfec2","CompAfe","Codigo",F,"C",38,0,"DETALLEITEMCOMPROBANTE",F,"",F,"",F,""
"RECIBO","IdVuelto","Recibo","idVuelto",F,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"RECIBO","SimboloMonetarioComprobante","Recibo","SimbMon",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"RECIBO","signodemovimiento","Recibo","signomov",F,"N",2,0,"NUMERICO",F,"",F,"1",T,""
"RECIBO","Caja","Recibo","IdCaja",F,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
"RECIBO","Cotizacion","Recibo","Cotiz",F,"N",15,5,"NUMERICONONEGATIVO",F,"",F,"",T,""
"RECIBO","MonedaSistema","Recibo","MonSis",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"RECIBO","Cliente","Recibo","FPerson",T,"C",5,0,"CODIGOCLIENTECOMPROBANTE",F,"CLIENTE",F,"",T,""
"RECIBO","Vendedor","Recibo","FVEN",T,"C",5,0,"CODIGOVENDEDOR",F,"VENDEDOR",F,"",F,""
"RECIBO","MontoConciliar","","",T,"N",16,2,"NUMERICO",F,"",F,"",F,""
"RECIBO","Anulado","Recibo","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"RECIBO","ClienteDescripcion","Recibo","FCLIENTE",T,"C",30,0,"CODIGOCLIENTECOMPROBANTE",F,"",F,"",F,"Cliente.Nombre"
"RECIBO","IvaDelSistema","Recibo","IvaSis",F,"N",10,2,"NUMERICO",F,"",F,"goparametros.felino.datoSIMPOSITIVOS.ivaINSCRIPTOS",F,""
"RECIBO","Letra","Recibo","FLETRA",T,"C",1,0,"NUMEROPTOVTAEDITABLE",F,"",F,"",F,""
"RECIBO","PuntoDeVenta","Recibo","FPTOVEN",T,"N",4,0,"NUMEROPTOVTAEDITABLE",F,"",F,"",F,""
"RECIBO","Numero","Recibo","FNUMCOMP",T,"N",8,0,"NUMEROPTOVTAEDITABLE",F,"",F,"",F,""
"RECIBO","Fecha","Recibo","FFCH",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=GOLIBRERIAS.OBTENERFECHA()",T,""
"RECIBO","Deuda","Recibo","",T,"N",16,2,"NUMERICO",F,"",F,"",F,""
"RECIBO","Codigo","Recibo","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"RECIBO","ReciboDetalle","ReciboDet","CODIGO",T,"G",38,0,"DETALLEITEMRECIBO",F,"",F,"",F,""
"RECIBO","PorcentajeDescuento","","",T,"N",6,2,"DESCUENTO",F,"",F,"",F,""
"RECIBO","DescuentoMonto","","",T,"N",15,2,"DESCUENTO",F,"",F,"",F,""
"RECIBO","MontoDeDescuento","","",T,"N",15,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"RECIBO","RecargoPorcentaje","","",T,"N",6,2,"DESCUENTO",F,"",F,"",F,""
"RECIBO","RecargoMonto","","",T,"N",15,2,"DESCUENTO",F,"",F,"",F,""
"RECIBO","MontoDeRecargo","","",T,"N",15,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"RECIBO","DescuentosYRecargosEnValores","","",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"RECIBO","RetencionesRecibidas","ReciRete","CODIGO",T,"G",38,0,"DETALLEITEMRETENCIONRECIBO",F,"",F,"",F,""
"RECIBO","ValoresDetalle","VAL","JJNUM",T,"G",38,0,"DETALLEITEMVALORES",F,"",F,"",F,""
"RECIBO","Vuelto","Recibo","FVuelto",F,"N",8,2,"VUELTO",F,"",F,"",F,""
"RECIBO","VueltoVirtual","","",T,"N",8,2,"VUELTO",F,"",F,"",F,""
"RECIBO","Total","Recibo","FTotal",T,"N",16,2,"TOTALMULTIMONEDA",F,"",F,"",F,""
"RECIBO","Obs","Recibo","FObs",T,"M",0,0,"OBSERVACION",F,"",T,"",F,""
