entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"REDONDEODEPRECIOS","codigo","redo","codigo",T,"C",10,0,"CODIGO",T,"",F,"",T,""
"REDONDEODEPRECIOS","descripcion","redo","descrip",T,"C",100,0,"DESCRIPCION",F,"",T,"",T,""
"REDONDEODEPRECIOS","Observacion","redo","robs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"REDONDEODEPRECIOS","HabilitaRedondearNormal","redo","redoent",T,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"REDONDEODEPRECIOS","redondeonormal","redo","rnormal",T,"N",2,0,"COMBO",F,"",F,"0",F,""
"REDONDEODEPRECIOS","HabilitaRedonearPrecios","redo","redopre",T,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"REDONDEODEPRECIOS","redondeoportabla","redo","rtabla",T,"N",2,0,"COMBO",F,"",F,"0",F,""
"REDONDEODEPRECIOS","DetRedondeoPorTabla","redoDetPorTabla","codigo",T,"C",10,0,"DETALLEITEMREDONDEOTABLA",F,"",F,"",F,""
"REDONDEODEPRECIOS","HabilitaRedondearTermCentavos","redo","redotCent",T,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"REDONDEODEPRECIOS","DetRedondeoPorCentavo","redoDetPorCent","codigo",T,"C",10,0,"DETALLEITEMREDONDEOCENTAVOS",F,"",F,"",F,""
"REDONDEODEPRECIOS","HabilitaRedondearTermEnteros","redo","redotEnt",T,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"REDONDEODEPRECIOS","DetRedondeoPorEntero","redoDetPorEnt","codigo",T,"C",10,0,"DETALLEITEMREDONDEOENTEROS",F,"",F,"",F,""
"REDONDEODEPRECIOS","detPrueba","redoPrueba","codigo",T,"C",10,0,"DETALLEITEMPRUEBAREDONDEO",F,"",F,"",F,""
