entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"REMITODECOMPRA","PuntoDeVenta","RemCompra","FPTOVEN",F,"N",4,0,"NUMERICO",F,"",F,"",F,""
"REMITODECOMPRA","ComprobanteFiscal","RemCompra","FCOMPFIS",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"REMITODECOMPRA","FechaModificacion","RemCompra","FD2",F,"D",8,0,"FECHA",F,"",F,"",F,""
"REMITODECOMPRA","Hora","RemCompra","FHORA",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"REMITODECOMPRA","MonedaComprobante","RemCompra","Moneda",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"REMITODECOMPRA","SimboloMonetarioComprobante","RemCompra","SimbMon",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"REMITODECOMPRA","SubtotalBruto","RemCompra","FSubTOT",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REMITODECOMPRA","SubtotalNeto","RemCompra","fSubToN",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REMITODECOMPRA","TipoComprobante","RemCompra","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=41",F,""
"REMITODECOMPRA","Turno","RemCompra","FTurno",F,"N",1,0,"TURNO",F,"",F,"",F,""
"REMITODECOMPRA","signodemovimiento","RemCompra","signomov",F,"N",2,0,"NUMERICO",F,"",F,"-1",F,""
"REMITODECOMPRA","ImpuestosDetalle","ImpRemComp","Codigo",F,"G",38,0,"DETALLEITEMIMPUESTOSREMC",F,"",F,"",F,""
"REMITODECOMPRA","anulado","RemCompra","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"REMITODECOMPRA","CondicionIva","RemCompra","CondivaLp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"ListaDePrecios.CondicionIva"
"REMITODECOMPRA","CUIT","RemCompra","fCuit",F,"C",15,0,"CUIT",F,"",F,"",F,"proveedor.cuit"
"REMITODECOMPRA","IdVuelto","RemCompra","idVuelto",F,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"REMITODECOMPRA","DescuentoAutomatico","RemCompra","DesAuto",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"REMITODECOMPRA","SubTotalConImpuestosSobreItems","RemCompra","SubTotCISI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REMITODECOMPRA","SubTotalSinImpuestosSobreItems","RemCompra","SubTotSISI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REMITODECOMPRA","RecargoMontoSinImpuestos","RemCompra","RecMntoSI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REMITODECOMPRA","RecargoMontoSinImpuestos1","RemCompra","RecMntoSI1",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REMITODECOMPRA","RecargoMontoSinImpuestos2","RemCompra","RecMntoSI2",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REMITODECOMPRA","MontoDescuentoSinImpuestos","RemCompra","DesMntoSI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REMITODECOMPRA","MontoDescuentoSinImpuestos1","RemCompra","DesMntoSI1",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REMITODECOMPRA","MontoDescuentoSinImpuestos2","RemCompra","DesMntoSI2",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REMITODECOMPRA","Caja","RemCompra","IdCaja",F,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
"REMITODECOMPRA","Codigo","RemCompra","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"REMITODECOMPRA","TipoComprobanteRG1361","RemCompra","tcrg1361",F,"N",1,0,"COMBOXML",F,"",F,"",F,""
"REMITODECOMPRA","MonedaSistema","RemCompra","MonSis",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"REMITODECOMPRA","TotalCantidad","RemCompra","TotalCant",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"REMITODECOMPRA","Letra","RemCompra","FLETRA",T,"C",1,0,"NUMEROCOMPROBANTEEDITABLE",F,"",F,"X",T,""
"REMITODECOMPRA","PuntoDeVentaExtendido","RemCompra","FPTOVENEXT",T,"N",5,0,"NUMEROCOMPROBANTEEDITABLE",F,"",F,"",T,""
"REMITODECOMPRA","Numero","RemCompra","FNUMCOMP",T,"N",8,0,"NUMEROCOMPROBANTEEDITABLE",F,"",F,"",T,""
"REMITODECOMPRA","Proveedor","RemCompra","FPerson",T,"C",5,0,"CODIGO",F,"PROVEEDOR",F,"",T,""
"REMITODECOMPRA","ListaDePrecios","RemCompra","CodLista",T,"C",6,0,"CODIGO",F,"LISTADEPRECIOS",F,"=goParametros.Felino.Precios.ListasDePrecios.ListaDePreciosPreferenteCompras",T,""
"REMITODECOMPRA","CondicionPagoPreferente","RemCompra","CONDPAGO",T,"C",5,0,"CODIGO",F,"CONDICIONDEPAGO",F,"",F,""
"REMITODECOMPRA","Motivo","RemCompra","MOTIVO",T,"C",3,0,"CODIGO",F,"MOTIVO",F,"",F,""
"REMITODECOMPRA","Transportista","RemCompra","FTransp",T,"C",6,0,"CODIGO",F,"TRANSPORTISTA",F,"",F,""
"REMITODECOMPRA","Cotizacion","RemCompra","Cotiz",T,"N",15,5,"NUMERICONONEGATIVO",F,"",F,"",T,""
"REMITODECOMPRA","NumInt","RemCompra","NumInt",T,"N",10,0,"CLAVECANDIDATA",F,"",F,"",F,""
"REMITODECOMPRA","Fecha","RemCompra","FFCH",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=goServicios.Librerias.ObtenerFecha()",F,""
"REMITODECOMPRA","Remito","RemCompra","NROREMITO",F,"C",15,0,"CARACTER",F,"",F,"",F,""
"REMITODECOMPRA","FechaFactura","RemCompra","FFCHFAC",F,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=goServicios.Librerias.ObtenerFecha()",F,""
"REMITODECOMPRA","CAI","RemCompra","NCAI",F,"N",14,0,"NUMERICO",F,"",F,"",F,""
"REMITODECOMPRA","FechaVtoCAI","RemCompra","FVTOCAI",F,"D",8,0,"FECHACALENDARIO",F,"",F,"=goServicios.Librerias.ObtenerFecha()",F,""
"REMITODECOMPRA","SituacionFiscal","RemCompra","SitFiscPro",F,"N",2,0,"NUMERICO",F,"SITUACIONFISCAL",F,"",F,"proveedor.SituacionFiscal"
"REMITODECOMPRA","FacturaDetalle","RemCompraDet","CODIGO",T,"G",38,0,"DETALLEITEMARTICULOSREMCOMPRA",F,"",F,"",F,""
"REMITODECOMPRA","PorcentajeDescuento","RemCompra","FPODES",T,"N",6,2,"DESCUENTO",F,"",F,"",F,""
