entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"SELECCIONOPERACIONECOMMERCE","Codigo","SELECOPECOM","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"SELECCIONOPERACIONECOMMERCE","Plataforma","","",T,"C",10,0,"CODIGO",F,"ECOMMERCE",F,"",T,""
"SELECCIONOPERACIONECOMMERCE","TipoDeEnvio","","",T,"C",10,0,"COMBOXML",F,"",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","Cab_fecha_Desde","","",T,"D",8,0,"EtiquetaFechaDesdeHastaBusc",F,"",F,"=this.ObtenerCondicionFechaSugeridaDesde()",F,""
"SELECCIONOPERACIONECOMMERCE","Cab_fecha_Hasta","","",T,"D",8,0,"EtiquetaFechaDesdeHastaBusc",F,"",F,"=goServicios.Librerias.ObtenerFecha()",F,""
"SELECCIONOPERACIONECOMMERCE","Cab_Hora_Desde","","",T,"C",5,0,"EtiquetaHoraDesdeHasta",F,"",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","Cab_Hora_Hasta","","",T,"C",5,0,"EtiquetaHoraDesdeHasta",F,"",F,"23:59",F,""
"SELECCIONOPERACIONECOMMERCE","Cab_Numero_Desde","","",T,"C",38,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","Cab_Numero_Hasta","","",T,"C",38,0,"EtiquetaCaracterDesdeHasta",F,"",F,"ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ",F,""
"SELECCIONOPERACIONECOMMERCE","Cab_ClienteEcom_Desde","","",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"CLIENTEECOMMERCE",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","Cab_ClienteEcom_Hasta","","",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"CLIENTEECOMMERCE",F,"ZZZZZZZZZZ",F,""
"SELECCIONOPERACIONECOMMERCE","Cab_PackId_Desde","","",T,"C",20,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","Cab_PackId_Hasta","","",T,"C",20,0,"EtiquetaCaracterDesdeHasta",F,"",F,"ZZZZZZZZZZZZZZZZZZZZ",F,""
"SELECCIONOPERACIONECOMMERCE","Cab_DatosEnvio","SELECOPECOM","Envio",T,"C",40,0,"CARACTER",F,"",T,"",F,""
"SELECCIONOPERACIONECOMMERCE","Cab_Pagado","","",T,"C",1,0,"COMBOXML",F,"",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","Cab_DatosPago","","",T,"C",40,0,"CARACTER",F,"",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","Item_FechaCancelacion_Desde","","",T,"D",8,0,"EtiquetaFechaDesdeHastaBusc",F,"",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","Item_FechaCancelacion_Hasta","","",T,"D",8,0,"EtiquetaFechaDesdeHastaBusc",F,"",F,"=goServicios.librerias.ObtenerFecha()",F,""
"SELECCIONOPERACIONECOMMERCE","Cab_Obs","","",T,"C",50,0,"CARACTER",F,"",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","Item_StoreOrderId_Desde","","",T,"C",20,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","Item_StoreOrderId_Hasta","","",T,"C",20,0,"EtiquetaCaracterDesdeHasta",F,"",F,"ZZZZZZZZZZZZZZZZZZZZ",F,""
"SELECCIONOPERACIONECOMMERCE","Item_IDPublicacion_Desde","","",T,"C",13,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","Item_IDPublicacion_Hasta","","",T,"C",13,0,"EtiquetaCaracterDesdeHasta",F,"",F,"ZZZZZZZZZZZZZ",F,""
"SELECCIONOPERACIONECOMMERCE","Item_Descripcion","","",T,"C",40,0,"CARACTER",F,"",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","Item_Articulo_Desde","","",T,"C",13,0,"EtiquetaCaracterDesdeHastaBusc",F,"ARTICULO",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","Item_Articulo_Hasta","","",T,"C",13,0,"EtiquetaCaracterDesdeHastaBusc",F,"ARTICULO",F,"ZZZZZZZZZZZZZZZ",F,""
"SELECCIONOPERACIONECOMMERCE","Item_Color_Desde","","",T,"C",2,0,"EtiquetaCaracterDesdeHastaBusc",F,"COLOR",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","Item_Color_Hasta","","",T,"C",2,0,"EtiquetaCaracterDesdeHastaBusc",F,"COLOR",F,"ZZZZZZ",F,""
"SELECCIONOPERACIONECOMMERCE","Item_Articulo_Proveedor_Desde","","",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"PROVEEDOR",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","Item_Articulo_Proveedor_Hasta","","",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"PROVEEDOR",F,"ZZZZZZZZZZ",F,""
"SELECCIONOPERACIONECOMMERCE","Item_Articulo_Ano_Desde","","",T,"N",4,0,"EtiquetaNumericoDesdeHasta",F,"",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","Item_Articulo_Ano_Hasta","","",T,"N",4,0,"EtiquetaNumericoDesdeHasta",F,"",F,"9999",F,""
"SELECCIONOPERACIONECOMMERCE","Item_Articulo_Material_Desde","","",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"MATERIAL",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","Item_Articulo_Material_Hasta","","",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"MATERIAL",F,"ZZZZZZZZZZ",F,""
"SELECCIONOPERACIONECOMMERCE","Item_Articulo_Grupo_Desde","","",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"GRUPO",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","Item_Articulo_Grupo_Hasta","","",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"GRUPO",F,"ZZZZZZZZZZ",F,""
"SELECCIONOPERACIONECOMMERCE","Accion","","",T,"C",30,0,"COMBOACCIONESECOMMERCE",F,"",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","Buzon","","",T,"C",8,0,"COMBOBUZON",F,"",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","BaseDeDatos","","",T,"C",11,0,"COMBOSUCURSALESECOMMERCE",F,"",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","UtilizaStockOtraBase","","",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","BDOrigenStock","","",T,"C",11,0,"COMBOSUCURSALESECOMMERCE",F,"",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","AccionFullEnv","","",T,"C",30,0,"COMBOACCIONESECOMMERCE",F,"",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","BuzonFullEnv","","",T,"C",8,0,"COMBOBUZON",F,"",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","BaseDeDatosFullEnv","","",T,"C",11,0,"COMBOSUCURSALESECOMMERCE",F,"",F,"",F,""
"SELECCIONOPERACIONECOMMERCE","Observacion","","",F,"M",0,0,"OBSERVACION",F,"",F,"",F,""
