entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"SOLICITUDDECOMPRA","ComprobanteFiscal","SolCompra","FCOMPFIS",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"SOLICITUDDECOMPRA","FechaModificacion","SolCompra","FD2",F,"D",8,0,"FECHA",F,"",F,"",F,""
"SOLICITUDDECOMPRA","Hora","SolCompra","FHORA",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"SOLICITUDDECOMPRA","SimboloMonetarioComprobante","SolCompra","SimbMon",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"SOLICITUDDECOMPRA","SubtotalBruto","SolCompra","FSubTOT",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"SOLICITUDDECOMPRA","SubtotalNeto","SolCompra","fSubToN",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"SOLICITUDDECOMPRA","TipoComprobante","SolCompra","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=39",F,""
"SOLICITUDDECOMPRA","Turno","SolCompra","FTurno",F,"N",1,0,"TURNO",F,"",F,"",F,""
"SOLICITUDDECOMPRA","signodemovimiento","SolCompra","signomov",F,"N",2,0,"NUMERICO",F,"",F,"-1",F,""
"SOLICITUDDECOMPRA","ImpuestosDetalle","ImpSolComp","Codigo",F,"G",38,0,"DETALLEITEMIMPUESTOSSOLC",F,"",F,"",F,""
"SOLICITUDDECOMPRA","anulado","SolCompra","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"SOLICITUDDECOMPRA","CondicionIva","SolCompra","CondivaLp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"ListaDePrecios.CondicionIva"
"SOLICITUDDECOMPRA","CUIT","SolCompra","fCuit",F,"C",15,0,"CUIT",F,"",F,"",F,"proveedor.cuit"
"SOLICITUDDECOMPRA","IdVuelto","SolCompra","idVuelto",F,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"SOLICITUDDECOMPRA","DescuentoAutomatico","SolCompra","DesAuto",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"SOLICITUDDECOMPRA","SubTotalConImpuestosSobreItems","SolCompra","SubTotCISI",F,"N",10,2,"NUMERICO",F,"",F,"",F,""
"SOLICITUDDECOMPRA","SubTotalSinImpuestosSobreItems","SolCompra","SubTotSISI",F,"N",10,2,"NUMERICO",F,"",F,"",F,""
"SOLICITUDDECOMPRA","RecargoMontoSinImpuestos","SolCompra","RecMntoSI",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"SOLICITUDDECOMPRA","RecargoMontoSinImpuestos1","SolCompra","RecMntoSI1",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"SOLICITUDDECOMPRA","RecargoMontoSinImpuestos2","SolCompra","RecMntoSI2",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"SOLICITUDDECOMPRA","MontoDescuentoSinImpuestos","SolCompra","DesMntoSI",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"SOLICITUDDECOMPRA","MontoDescuentoSinImpuestos1","SolCompra","DesMntoSI1",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"SOLICITUDDECOMPRA","MontoDescuentoSinImpuestos2","SolCompra","DesMntoSI2",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"SOLICITUDDECOMPRA","Caja","SolCompra","IdCaja",F,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
"SOLICITUDDECOMPRA","Codigo","SolCompra","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"SOLICITUDDECOMPRA","TipoComprobanteRG1361","SolCompra","tcrg1361",F,"N",1,0,"COMBOXML",F,"",F,"",F,""
"SOLICITUDDECOMPRA","MonedaSistema","SolCompra","MonSis",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"SOLICITUDDECOMPRA","TotalCantidad","SolCompra","TotalCant",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"SOLICITUDDECOMPRA","Letra","SolCompra","FLETRA",T,"C",1,0,"NUMEROCOMPROBANTEEDITABLE",F,"",F,"="X"",T,""
"SOLICITUDDECOMPRA","PuntoDeVenta","SolCompra","FPTOVEN",T,"N",4,0,"NUMEROCOMPROBANTEEDITABLE",F,"",F,"=goServicios.Parametros.felino.Numeraciones.BocaDeExpendio",T,""
"SOLICITUDDECOMPRA","Numero","SolCompra","FNUMCOMP",T,"N",8,0,"NUMEROCOMPROBANTEEDITABLE",F,"",F,"",T,""
"SOLICITUDDECOMPRA","Proveedor","SolCompra","FPerson",T,"C",5,0,"CODIGO",F,"PROVEEDOR",F,"",T,""
"SOLICITUDDECOMPRA","ListaDePrecios","SolCompra","CodLista",T,"C",6,0,"CODIGO",F,"LISTADEPRECIOS",F,"=goParametros.Felino.Precios.ListasDePrecios.ListaDePreciosPreferenteCompras",F,""
