entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"STOCKCOMBINACION","Articulo","COMB","COART",F,"C",13,0,"CODIGO",F,"ARTICULO",F,"",F,""
"STOCKCOMBINACION","Color","COMB","COCOL",F,"C",2,0,"CODIGO",F,"COLOR",F,"",F,""
"STOCKCOMBINACION","Talle","COMB","COTLL",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"STOCKCOMBINACION","Codigo","COMB","COCOD",F,"C",18,0,"CODIGO",T,"",F,"",F,""
"STOCKCOMBINACION","DescripcionComprobante","","",F,"C",254,0,"CARACTER",F,"",F,"",F,""
"STOCKCOMBINACION","Cantidad","COMB","COCANT",T,"N",9,0,"NUMERICO",F,"",T,"",F,""
"STOCKCOMBINACION","DiferenciaEntreStockYReposicion","","",T,"N",9,0,"NUMERICO",F,"",F,"",F,""
"STOCKCOMBINACION","DiferenciaEntreStockYCantidadComb","","",T,"N",9,0,"NUMERICO",F,"",F,"",F,""
"STOCKCOMBINACION","CantidadOriginal","COMB","CORIG",T,"N",9,0,"NUMERICO",F,"",F,"",F,""
"STOCKCOMBINACION","MinReposicion","COMB","MinRepo",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"STOCKCOMBINACION","MaxReposicion","COMB","MaxRepo",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"STOCKCOMBINACION","EntregaPen","COMB","EntregaPen",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"STOCKCOMBINACION","EntregaPenOriginal","COMB","cOrigEntre",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
