entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"SUCURSAL","TipoInterno","Suc","CLTPO",F,"N",1,0,"NUMERICO",F,"",F,"3",F,""
"SUCURSAL","Codigo","Suc","codigo",T,"C",5,0,"CODIGO",T,"",F,"",F,""
"SUCURSAL","Nombre","Suc","CLNOM",T,"C",60,0,"DESCRIPCION",F,"",T,"",F,""
"SUCURSAL","TipoInterno2","Suc","CLCFI",F,"N",1,0,"SINOGENERICO",F,"",F,"3",F,""
"SUCURSAL","Observacion","Suc","CLOBS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"SUCURSAL","Direccion","Suc","CLDIR",T,"C",70,0,"CARACTER",F,"",F,"",F,""
"SUCURSAL","Numero","suc","CLNUM",T,"N",5,0,"NUMERICO",F,"",F,"",F,""
"SUCURSAL","Piso","suc","CLPISO",T,"C",3,0,"CARACTER",F,"",F,"",F,""
"SUCURSAL","Departamento","suc","CLDEPTO",T,"C",3,0,"CARACTER",F,"",F,"",F,""
"SUCURSAL","Localidad","Suc","CLLOC",T,"C",70,0,"CARACTER",F,"",F,"",F,""
"SUCURSAL","CodigoPostal","Suc","CLCP",T,"C",8,0,"CARACTER",F,"",F,"",F,""
"SUCURSAL","Provincia","Suc","CLPRV",T,"C",2,0,"CODIGO",F,"PROVINCIA",F,"",F,""
"SUCURSAL","Telefono","Suc","CLTLF",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"SUCURSAL","Fax","Suc","CLFAX",T,"C",60,0,"CARACTER",F,"",F,"",F,""
"SUCURSAL","EMail","Suc","CLEMAIL",T,"C",60,0,"CARACTER",F,"",F,"",F,""
"SUCURSAL","PaginaWeb","Suc","CLPAGEWEB",T,"C",60,0,"CARACTER",F,"",F,"",F,""
"SUCURSAL","Contacto","Suc","CLCONTAC",T,"C",60,0,"CARACTER",F,"",F,"",F,""
"SUCURSAL","Imagen","Suc","CIMAGEN",T,"C",180,0,"IMAGENCONRUTADINAMICA",F,"",F,"",F,""
"SUCURSAL","Clasificacion","Suc","CLIMPD",T,"C",8,0,"CARACTER",F,"",F,"",F,""
"SUCURSAL","FechaDeAlta","","",F,"D",8,0,"FECHA",F,"",F,"",F,""
"SUCURSAL","FechaUltimaModificacion","","",F,"D",8,0,"FECHA",F,"",F,"",F,""
