entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"SUCURSALBANCARIA","Codigo","SucBan","SbCod",T,"C",5,0,"CODIGO",T,"",F,"",T,""
"SUCURSALBANCARIA","Descripcion","SucBan","SbDes",T,"C",40,0,"DESCRIPCION",F,"",T,"",F,""
"SUCURSALBANCARIA","Observacion","SucBan","SbObs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"SUCURSALBANCARIA","EntidadFinanciera","SucBan","SbEntFin",T,"C",5,0,"CODIGO",F,"ENTIDADFINANCIERA",F,"",T,""
"SUCURSALBANCARIA","NumeroSuc","SucBan","SbNum",T,"N",10,0,"NUMERICO",F,"",F,"",T,""
"SUCURSALBANCARIA","Calle","SucBan","SbCalle",T,"C",70,0,"DIRECCION",F,"",F,"",F,""
"SUCURSALBANCARIA","Numero","SucBan","SbNro",T,"N",5,0,"DIRECCION",F,"",F,"",F,""
"SUCURSALBANCARIA","Piso","SucBan","SbPiso",T,"C",3,0,"DIRECCION",F,"",F,"",F,""
"SUCURSALBANCARIA","Departamento","SucBan","SbDepto",T,"C",3,0,"DIRECCION",F,"",F,"",F,""
"SUCURSALBANCARIA","Localidad","SucBan","SbLoc",T,"C",70,0,"CARACTER",F,"",F,"",F,""
"SUCURSALBANCARIA","CodigoPostal","SucBan","SbCP",T,"C",8,0,"CARACTER",F,"",F,"",F,""
"SUCURSALBANCARIA","Provincia","SucBan","SbPrv",T,"C",2,0,"CODIGO",F,"PROVINCIA",F,"",F,""
"SUCURSALBANCARIA","Pais","SucBan","SbPais",T,"C",3,0,"CODIGO",F,"PAISES",F,"",F,""
"SUCURSALBANCARIA","Telefono","SucBan","SbTlf",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"SUCURSALBANCARIA","EMail","SucBan","SbEmail",T,"C",60,0,"CARACTER",F,"",F,"",F,""
"SUCURSALBANCARIA","Contacto","SucBan","SbContac",T,"C",60,0,"CARACTER",F,"",F,"",F,""
