entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"TALONARIO","Codigo","numeraciones","Talonario",T,"C",35,0,"CODIGO",T,"",F,"",F,""
"TALONARIO","Obs","numeraciones","pobs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"TALONARIO","Entidad","numeraciones","Entidad",T,"C",150,0,"COMBORELANUMERACIONES",F,"",F,"="FACTURA"",F,""
"TALONARIO","Letra","numeraciones","Letra",T,"C",1,0,"CARACTER",F,"",F,"",F,""
"TALONARIO","PuntoDeVenta","numeraciones","PtoVen",T,"N",4,0,"NUMERICO",F,"",F,"",F,""
"TALONARIO","DelegarNumeracion","numeraciones","Delegnum",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"TALONARIO","Asignacion","numeraciones","Asigna",T,"N",1,0,"COMBOXML",F,"",F,"",F,""
"TALONARIO","Numero","numeraciones","Numero",T,"N",10,0,"NUMERICO",F,"",T,"",F,""
"TALONARIO","Talonariorela","numeraciones","talorela",T,"C",35,0,"CODIGO",F,"TALONARIO",F,"",F,""
"TALONARIO","ReservarNumero","numeraciones","ReserNro",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"TALONARIO","MaximoNumero","numeraciones","maximo",T,"N",10,0,"NUMERICO",F,"",F,"",F,""
"TALONARIO","Formula","numeraciones","formula",F,"C",100,0,"CARACTER",F,"",F,"",F,""
"TALONARIO","Atributo","numeraciones","atributo",F,"C",40,0,"CARACTER",F,"",F,"",F,""
"TALONARIO","Servicio","numeraciones","servicio",F,"C",40,0,"CARACTER",F,"",F,"",F,""
