entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"TICKETFACTURA","Cliente","ComprobanteV","FPerson",T,"C",5,0,"CODIGOCLIENTECOMPROBANTE",F,"CLIENTE",F,"",F,""
"TICKETFACTURA","ComprobanteFiscal","ComprobanteV","FCOMPFIS",F,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"TICKETFACTURA","FechaModificacion","ComprobanteV","FD2",F,"D",8,0,"FECHA",F,"",F,"",F,""
"TICKETFACTURA","Hora","ComprobanteV","FHORA",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"TICKETFACTURA","MonedaComprobante","ComprobanteV","Moneda",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"TICKETFACTURA","SimboloMonetarioComprobante","ComprobanteV","SimbMon",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"TICKETFACTURA","SubtotalBruto","ComprobanteV","FSubTOT",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"TICKETFACTURA","SubtotalNeto","ComprobanteV","fSubToN",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"TICKETFACTURA","TipoComprobante","ComprobanteV","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=2",F,""
"TICKETFACTURA","Turno","ComprobanteV","FTurno",F,"N",1,0,"TURNO",F,"",F,"@ObtenerTurno()",F,""
"TICKETFACTURA","signodemovimiento","ComprobanteV","signomov",F,"N",2,0,"NUMERICO",F,"",F,"1",T,""
"TICKETFACTURA","ImpuestosDetalle","ImpuestosV","Codigo",F,"G",38,0,"DETALLEITEMIMPUESTOS",F,"",F,"",F,""
"TICKETFACTURA","anulado","ComprobanteV","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"TICKETFACTURA","CondicionIva","ComprobanteV","CondivaLp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"ListaDePrecios.CondicionIva"
"TICKETFACTURA","IdVuelto","ComprobanteV","idVuelto",F,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"TICKETFACTURA","DescuentoAutomatico","ComprobanteV","DesAuto",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"TICKETFACTURA","SubTotalConImpuestosSobreItems","ComprobanteV","SubTotCISI",F,"N",10,2,"NUMERICO",F,"",F,"",F,""
"TICKETFACTURA","SubTotalSinImpuestosSobreItems","ComprobanteV","SubTotSISI",F,"N",10,2,"NUMERICO",F,"",F,"",F,""
"TICKETFACTURA","RecargoMontoSinImpuestos","ComprobanteV","RecMntoSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"TICKETFACTURA","RecargoMontoSinImpuestos1","ComprobanteV","RecMntoSI1",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"TICKETFACTURA","RecargoMontoSinImpuestos2","ComprobanteV","RecMntoSI2",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"TICKETFACTURA","MontoDescuentoSinImpuestos","ComprobanteV","DesMntoSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"TICKETFACTURA","MontoDescuentoSinImpuestos1","ComprobanteV","DesMntoSI1",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"TICKETFACTURA","MontoDescuentoSinImpuestos2","ComprobanteV","DesMntoSI2",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"TICKETFACTURA","MontoDescuentoSinImpuestos3","ComprobanteV","DesMntoSI3",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"TICKETFACTURA","ImpuestosComprobante","impVentas","cCod",F,"G",38,0,"DETALLEITEMIMPUESTOVENTAS",F,"",F,"",F,""
"TICKETFACTURA","Caja","ComprobanteV","IdCaja",F,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
"TICKETFACTURA","MontoDescuentoConImpuestos","ComprobanteV","MDCIMPU",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"TICKETFACTURA","Cotizacion","ComprobanteV","Cotiz",F,"N",15,5,"NUMERICONONEGATIVO",F,"",F,"",T,""
"TICKETFACTURA","MonedaSistema","ComprobanteV","MonSis",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"TICKETFACTURA","PromoArticulosDetalle","ProArtDet","CODIGO",F,"G",38,0,"DETALLEITEMPROMOARTICULOS",F,"",F,"",F,""
"TICKETFACTURA","TotalCantidad","ComprobanteV","TotalCant",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"TICKETFACTURA","Despachos","ComprobanteV","Despachos",F,"C",254,0,"CARACTER",F,"",F,"",F,""
"TICKETFACTURA","Secuencia","COMPROBANTEV","FACTSEC",F,"C",2,0,"NUMERICO",F,"",F,"",F,""
"TICKETFACTURA","CodigoMotivoDescuentoEnSubtotal","ComprobanteV","MotDescDev",F,"C",10,0,"CODIGO",F,"MOTIVODESCUENTOYDEVOLUCION",F,"",F,""
"TICKETFACTURA","CodigoAjuste","COMPROBANTEV","idAjuste",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"TICKETFACTURA","FueInformadoALaNube","ComprobanteV","InformNube",F,"D",8,0,"FECHA",F,"",F,"",F,""
"TICKETFACTURA","DataECom","ComprobanteV","DatosEComm",F,"M",0,0,"TEXTO",F,"",F,"",F,""
"TICKETFACTURA","NroOPEcommerce","ComprobanteV","OPEcomm",F,"C",254,0,"CARACTER",F,"",F,"",F,""
"TICKETFACTURA","ClienteDescripcion","ComprobanteV","FCLIENTE",T,"C",30,0,"CODIGOCLIENTECOMPROBANTE",F,"",F,"",F,"Cliente.Nombre"
"TICKETFACTURA","Email","COMPROBANTEV","Email",T,"C",250,0,"MAIL",F,"",F,"",F,""
"TICKETFACTURA","DireccionEntrega","ComprobanteV","DirEntr",F,"C",250,0,"COMBODIRECCIONESENTREGA",F,"",F,"",F,""
"TICKETFACTURA","ForPago","ComprobanteV","FPago",F,"C",5,0,"CODIGO",F,"CONDICIONDEPAGO",F,"",F,""
"TICKETFACTURA","AccionCancelatoria","ComprobanteV","Cancelar",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"TICKETFACTURA","IvaDelSistema","ComprobanteV","IvaSis",F,"N",10,2,"NUMERICO",F,"",F,"goparametros.felino.datoSIMPOSITIVOS.ivaINSCRIPTOS",F,""
"TICKETFACTURA","Letra","ComprobanteV","FLETRA",T,"C",1,0,"NUMEROCOMPROBANTESINLETRA",F,"",F,"",F,""
"TICKETFACTURA","Codigo","ComprobanteV","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"TICKETFACTURA","PuntoDeVenta","ComprobanteV","FPTOVEN",T,"N",4,0,"NUMEROCOMPROBANTESINLETRA",F,"",F,"",F,""
"TICKETFACTURA","IDSenia","ComprobanteV","IDSenia",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"TICKETFACTURA","Senia","ComprobanteV","Senia",F,"G",38,0,"CODIGO",F,"SENIA",F,"",F,""
"TICKETFACTURA","Numero","ComprobanteV","FNUMCOMP",T,"N",8,0,"NUMEROCOMPROBANTESINLETRA",F,"",F,"",F,""
"TICKETFACTURA","TipoCpteRelacionado","COMPROBANTEV","TipoCRela",F,"N",2,0,"COMPROBANTERELACIONADO",F,"",F,"",F,""
"TICKETFACTURA","LetraCpteRelacionado","COMPROBANTEV","letraRela",F,"C",1,0,"COMPROBANTERELACIONADO",F,"",F,"",F,""
"TICKETFACTURA","PuntoDeVentaCpteRelacionado","COMPROBANTEV","puntoRela",F,"N",4,0,"COMPROBANTERELACIONADO",F,"",F,"",F,""
"TICKETFACTURA","NumeroCpteRelacionado","COMPROBANTEV","numeroRela",F,"N",8,0,"COMPROBANTERELACIONADO",F,"",F,"",F,""
"TICKETFACTURA","FechaCpteRelacionado","COMPROBANTEV","FecCRela",F,"D",8,0,"COMPROBANTERELACIONADO",F,"",F,"",F,""
"TICKETFACTURA","MercaderiaConsignacion","comprobanteV","MerConsign",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"TICKETFACTURA","Vendedor","ComprobanteV","FVEN",T,"C",5,0,"CODIGOVENDEDOR",F,"VENDEDOR",F,"",F,""
