entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"TRATAMIENTOCOMPROBANTES","CodInt","TRATCOMP","CodInt",F,"G",38,0,"CODIGO",T,"",T,"",F,""
"TRATAMIENTOCOMPROBANTES","Numero","TRATCOMP","Numero",T,"N",8,0,"CLAVECANDIDATA",F,"",F,"",F,""
"TRATAMIENTOCOMPROBANTES","TipoComprobante","TRATCOMP","TipoComp",T,"N",2,0,"TIPOCOMPROBANTEVENTASFISCAL",F,"",F,"",T,""
"TRATAMIENTOCOMPROBANTES","Accion","TRATCOMP","Accion",T,"N",2,0,"COMBOXML",F,"",F,"1",T,""
"TRATAMIENTOCOMPROBANTES","Fecha","TRATCOMP","fecha",T,"D",8,0,"FECHA",F,"",F,"=goServicios.Librerias.ObtenerFecha()",F,""
"TRATAMIENTOCOMPROBANTES","Hora","TRATCOMP","hora",T,"C",8,0,"CARACTER",F,"",F,"=goServicios.Librerias.ObtenerHora()",F,""
"TRATAMIENTOCOMPROBANTES","Usuario","TRATCOMP","Usuario",T,"C",100,0,"DESCRIPCION",F,"",F,"=goServicios.Seguridad.cUsuarioLogueado",F,""
"TRATAMIENTOCOMPROBANTES","Serie","TRATCOMP","serie",T,"C",7,0,"CARACTER",F,"",F,"=_Screen.Zoo.App.cSerie",F,""
"TRATAMIENTOCOMPROBANTES","Observacion","TRATCOMP","Obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"TRATAMIENTOCOMPROBANTES","Letra","TRATCOMP","LetDesde",T,"C",1,0,"CARACTER",F,"",F,"",F,""
"TRATAMIENTOCOMPROBANTES","PuntoDeVenta","TRATCOMP","PtoDesde",T,"N",4,0,"NUMERICONONEGATIVO",F,"",F,"=goParametros.Felino.ControladoresFiscales.PuntoDeVenta",T,""
"TRATAMIENTOCOMPROBANTES","NumeroDesde","TRATCOMP","NumDesde",T,"N",8,0,"NUMERICO",F,"",F,"",T,""
"TRATAMIENTOCOMPROBANTES","NumeroHasta","TRATCOMP","NumHasta",T,"N",8,0,"NUMERICO",F,"",F,"",T,""
"TRATAMIENTOCOMPROBANTES","Secuencia","TRATCOMP","factsec",F,"C",2,0,"CARACTER",F,"",F,"",F,""
"TRATAMIENTOCOMPROBANTES","FechaComprobante","TRATCOMP","ffch",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",T,""
