entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"VALOR","Codigo","XVALORES","CLCOD",T,"C",5,0,"CODIGO",T,"",F,"",F,""
"VALOR","FechaDeAlta","","",F,"D",8,0,"FECHA",F,"",F,"",F,""
"VALOR","FechaUltimaModificacion","","",F,"D",8,0,"FECHA",F,"",F,"",F,""
"VALOR","Descripcion","XVALORES","CLNOM",T,"C",30,0,"DESCRIPCION",F,"",T,"",F,""
"VALOR","Observacion","XVALORES","CLOBS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"VALOR","Tipo","XVALORES","CLCFI",T,"N",2,0,"COMBOTIPODEVALORES",F,"",F,"",T,""
"VALOR","SimboloMonetario","XVALORES","CLSMONET",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",T,""
"VALOR","Grupo","XVALORES","CLGRUP",T,"C",5,0,"COMBOTABLA",F,"GRUPOVALOR",F,"",F,""
"VALOR","Clasificacion","XVALORES","CLCLAS",T,"C",10,0,"CODIGO",F,"CLASIFICACIONCLIENTE",F,"",F,""
"VALOR","TipoEndosable","","",F,"N",1,0,"TIPOVALORENDOSABLE",F,"",F,"",F,""
"VALOR","VisualizarEnCaja","XVALORES","ClVisualiz",T,"L",1,0,"SINOBOOL",F,"",F,"=.F.",F,""
"VALOR","Cuit","XVALORES","CLCUIT",T,"C",15,0,"CUIT",F,"",F,"",F,""
"VALOR","PermiteVuelto","XVALORES","pervuelto",T,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"VALOR","Caja","XVALORES","IdCaja",T,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
"VALOR","PersonalizarComprobante","XVALORES","PersoComp",T,"L",1,0,"SINOBOOL",F,"",F,"=.F.",F,""
"VALOR","ArrastraSaldo","XVALORES","noarrastra",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
