entidad,descripcion,titulo,icono,filtro,version_exe,version_zoo,version_cli,formulario,tipo,version,herencia,kontroler,orden,ubicaciondb,usaguid,centraliza,comportamiento,identificador,modulos,formatodescripcion,versionminimaderecepcion,versionminimadeemision
"ACCESOAOBJETO","Acceso a objeto","Acceso a objeto","","",7.00,0,0,F,"E",2,"","",0,"",F,F,"","AO","SUIOPTQDGHJKLMWN","","",""
"AGRUPALISTADOSPERSONALIZADOS","Agrupamiento de listados personalizados","Agrupa listados personalizados","","",7.00,0,0,T,"E",2,"","",0,"ORGANIZACION",F,F,"B","ALP","B","","",""
"AGRUPAMIENTO","Agrupamientos de Bases de Datos","Agrupamientos","","",7.00,0,0,T,"E",2,"","",0,"PUESTO",F,F,"T","AGR","B","","",""
"AGRUPAMIENTODEBUZONES","Agrupamientos de buzones","Agrupamientos de buzones","","",7.00,0,0,T,"E",2,"","",0,"PUESTO",F,F,"T","ABZ","B","","",""
"AGRUPAMIENTOPUBLICACIONES","Agrupamientos para publicaciones","Agrupamientos para publicaciones","","",7.00,0,0,T,"E",2,"","",0,"",T,F,"","APP","B","","",""
"AJUSTECCCLIENTE","Ajuste de cuenta corriente de clientes","Ajuste de cuenta corriente de clientes","","FactTipo = 43",7.00,0,0,T,"E",2,"","",1,"",T,T,"TXD","AJU","B","This.cComprobante + " " + This.Letra + " " + transform( This.PuntoDeVenta, "@LZ 9999" ) + "-" + transform( This.Numero, "@LZ 99999999" )","",""
"AJUSTECCPROVEEDOR","Ajuste de cuenta corriente de proveedores","Ajuste de cuenta corriente de proveedores","","FactTipo = 42",7.00,0,0,T,"E",2,"","",1,"",T,T,"TXD","AJP","B","This.cComprobante + " " + This.Letra + " " + transform( This.PuntoDeVenta, "@LZ 9999" ) + "-" + transform( This.Numero, "@LZ 99999999" )","",""
"AJUSTEDECUPON","Ajuste de cupón","Ajuste de cupón","","",7.00,0,0,F,"E",2,"","",0,"",F,F,"","AJC","B","","",""
"AJUSTEDEESTADOS","Ajuste de situaciones de estado según comprobantes","Ajuste de situaciones de estado según comprobantes","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","AES","B","This.ObtenerNombre() + " - " + transform( This.Numero, "@LZ 9999999999" )","",""
"AJUSTEDESTOCK","Stock según seguimiento contra stock","Stock según seguimiento contra stock","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","051","B","This.ObtenerNombre() + " - " + transform( This.Numero, "@LZ 9999999999" )","",""
"ALIVIODECAJA","Alivio de caja","Alivio de caja","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"C","ADC","B","","",""
"APERTURAAUTOMATICAENTIDADES","Apertura automática de entidades","Apertura automática de entidades","","",7.00,0,0,T,"E",2,"","",1,"ORGANIZACION",F,F,"B","AAE","B","","",""
"APERTURAEJERCICIO","Apertura de ejercicio","Apertura de ejercicio","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BT","ADE","B","","",""
"ARQUEODECAJA","Arqueo de caja","Arqueo de caja","","",7.00,0,0,T,"E",2,"","Comprobante",0,"",F,F,"","ARQ","B","","",""
"ARTICULO","Artículos","Artículos","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BTD","001","B","this.ObtenerDescripcion() + " " + this.codigo","",""
"ARTICULOINCISODATOSADICIONALESSIPRIB","Articulo inciso datos adicionales SIPRIB","Articulo inciso datos adicionales SIPRIB","","",7.00,0,0,F,"E",2,"","",0,"ORGANIZACION",F,F,"","ADA","","","",""
"ASIENTO","Asientos contables","Asiento","","",7.00,0,0,T,"E",2,"","",1,"",T,F,"BD","ASI","B","","",""
"ASIENTOSPERIODICOS","Asientos periódicos","Asientos periódicos","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BT","RAS","B","","",""
"ASIENTOTIPO","Asiento tipo","Asiento tipo","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BT","ATI","B","","",""
"ASIGNARZBD","Asignación de razón social a base de datos","Asignación de razón social a base de datos","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BT","ARB","B","","",""
"ASOCIACIONARTICULOSOPERACIONESAFIP","AFIP - Asociación de artículos y tipos de operación","AFIP - Asociación de artículos y tipos de operación","","",7.00,0,0,T,"E",2,"","",0,"ORGANIZACION",F,F,"C","AAO","B","","",""
"Accionesautomaticas","Acciones automáticas","Acciones automáticas","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","AA","B","","",""
"BANCO","Bancos","Bancos","","",7.00,0,0,F,"E",2,"","",1,"",F,F,"BT","015","B","","",""
"BASEDEDATOS","Base de datos","Base de datos","","",7.00,0,0,T,"E",2,"","",0,"PUESTO",F,F,"","052","B","","",""
"BOLSASYCAJAS","Bolsas y cajas","Bolsas y cajas","","",7.00,0,0,T,"E",2,"","",1,"",T,T,"CTXD","BYC","B","This.ObtenerNombre() + " " + transform( This.Numero, "@LZ 99999999" )","",""
"BUZON","Buzón para transferencias","Buzón para transferencias","","",7.00,0,0,T,"E",2,"","",0,"PUESTO",F,F,"T","044","B","","",""
"CAE","CAE","CAE","","",7.00,0,0,F,"E",2,"","",1,"",F,T,"CT","FAE","B","","",""
"CAEA","CAEA","Obtención de CAEA","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"TC","OCA","B","","",""
"CAEAINFORMA","Informar Movimientos CAEA","Información de movimientos CAEA","","",0.00,0,0,T,"E",2,"","",1,"",F,F,"TC","IMC","B","","",""
"CAEPORLOTE","Obtención de CAE por lote","Obtención de CAE por lote","","",7.00,0,0,T,"E",2,"","",1,"",F,T,"CT","OFA","B","","",""
"CAI","Código de autorización de autoimpresión","Código de autorización de autoimpresión","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"T","CAI","B","","",""
