id,idnodo,parametro,tipodato,default,organizacion,puesto,sucursal,ayuda,version_exe,version_zoo,version_cli,paramint,paramusu,exe,longitud,decimales,idnodocliente,dominio,opciones,idunico
9376,2,"PrefijoCliente","C","",0,0,1,"Prefijo para identificar a que sucursal pertenece cada cliente",0.00,0,0,"Prefijocliente","Prefijo Cliente",T,3,0,9999,"","","15926F45610400144CA1805013292549777811"
9578,2,"Forma de aplicar el descuento asociado al cliente","N","1",0,1,0,"Exclusivo: intenta aplicar sólo el descuento asociado. Preferente: si no puede aplicarlo sigue intentando con los demás",0.00,0,0,"FormaDeAplicarElDescuentoAsociadoAlCliente","Forma de aplicar el descuento asociado al cliente",T,0,0,9,"COMBO","Modo exclusivo,Modo preferente","1E2A988161335714B0F1917010698007638721"
9136,3,"Codigo","N","0",3,1,2,"Marca y modelo de los controladores fiscales homologados",0.00,0,0,"Codigo","Modelo",F,0,0,21,"COMBOCONTROLADORFISCAL","","10EDF5954191B91456B1B3DE10117524778161"
9138,3,"Puerto","N","1",3,1,2,"Lista de puertos disponibles para la conexión de un controlador fiscal",0.00,0,0,"Puerto","Puerto",F,0,0,21,"PUERTOSERIE","","12B3F0A7618E011408D18DB810729277132341"
9139,3,"Punto de Venta","N","1",3,1,2,"Número de punto de venta fiscal",0.00,0,0,"PuntoDeVenta","Punto de Venta",F,4,0,21,"","","197C20018192A11468E1A0F216206757985111"
9140,3,"Secuencia para reinicio de la memoria fiscal","C","",0,1,0,"Secuencia a utilizar en caso de reinicio de la memoria fiscal para permitir numeraciones duplicadas",0.00,0,0,"SecuenciaParaReinicioDeLaMemoriaFiscal","Secuencia para reinicio de la memoria fiscal",F,2,0,21,"COMBOSECUENCIAFISCAL","","15A0C9E7512A80143431859212743572275401"
9160,3,"Límite total de un comprobante ticket sin personalizar","N","1000",3,1,2,"Límite total de un comprobante ticket sin personalizar",0.00,0,0,"LimiteTotalDeUnComprobanteTicketSinPersonalizar","Límite total de un comprobante ticket sin personalizar",T,10,0,21,"","","1580027CB18BF614CDE1BD5C11818891916251"
9368,3,"Límite total de un comprobante ticket A personalizado","N","25000",3,1,2,"Límite total de un comprobante ticket A personalizado",0.00,0,0,"LimiteTotalDeUnComprobanteTicketAPersonalizado","Límite total de un comprobante ticket A personalizado",T,10,0,21,"","","136196DDF1E9DE143C21BAB112362417280231"
9369,3,"Límite total de un comprobante ticket B personalizado","N","5000",3,1,2,"Límite total de un comprobante ticket B personalizado",0.00,0,0,"LimiteTotalDeUnComprobanteTicketBPersonalizado","Límite total de un comprobante ticket B personalizado",T,10,0,21,"","","182BFE98319438148711A41D14292468217631"
9370,3,"Restringir carga de items según límite de monto total de comprobantes ticket","L",".f.",3,1,2,"Al hacer un nuevo en base a otro comprobante, se restringe la carga de items según el límite establecido.",0.00,0,0,"RestringirCargaDeItemsSegunLimiteDeMontoTotalDeComprobantesTicket","Restringir carga de items según límite de monto total de comprobantes ticket",T,0,0,29,"","","19C97B06A1F8D014E121B8F413371454904301"
