entidad,componente
"AJUSTECCCLIENTE","AjusteCCValoresVentas"
"AJUSTECCPROVEEDOR","AjusteCCValoresCompras"
"APERTURAEJERCICIO","Asiento"
"ARQUEODECAJA","ArqueoDeCaja"
"ASIENTO","Asiento"
"ASIENTOSPERIODICOS","Asiento"
"CAEAINFORMA","FacturacionElectronica"
"CANCELACIONDESENIAS","SENIASVENCIDAS"
"CANJEDECUPONES","CANJEDECUPONES"
"CIERREDELOTE","CIERREDELOTE"
"CIERREEJERCICIO","Asientos"
"CLIENTE","DatosAdicionalesSIPRIB"
"COMPROBANTEDECAJA","ArqueoDeCaja"
"COMPROBANTEDECAJA","CUENTABANCARIACOMPROBANTECAJA"
"CONCILIACIONDECAJA","AJUSTESDECAJA"
"CONCILIACIONES","ConciliacionesCheques"
"CONTABILIZACION","Asientos"
"DATOSFISCALES","AccionesAutomaticasParaDatosFiscales"
"DESCARGADECHEQUES","CUENTABANCARIADESCARGADECHEQUES"
"ENTREGADEMERCADERIAS","EntregaDeMercaderias"
"FACTURA","DESCUENTOS"
"FACTURA","DESCUENTOS"
"FACTURA","DatosAdicionalesComprobantesA"
"FACTURA","ECOMMERCE"
"FACTURA","LimitesDeConsumo"
"FACTURA","RegistroLiquidacionConsignaciones"
"FACTURA","SENIAS"
"FACTURAAGRUPADA","DESCUENTOS"
"FACTURAAGRUPADA","DatosAdicionalesComprobantesA"
"FACTURAAGRUPADA","FacturacionElectronica"
"FACTURAAGRUPADA","LimitesDeConsumo"
"FACTURAAGRUPADA","RegistroLiquidacionConsignaciones"
"FACTURAAGRUPADA","SENIAS"
"FACTURAAGRUPADA","SERVICIOSALCLIENTE"
"FACTURADECOMPRA","TIPODECOMPROBANTEDECOMPRA"
"FACTURADEEXPORTACION","DESCUENTOS"
"FACTURADEEXPORTACION","LimitesDeConsumo"
"FACTURADEEXPORTACION","SENIAS"
"FACTURAELECTRONICA","DESCUENTOS"
"FACTURAELECTRONICA","DatosAdicionalesComprobantesA"
"FACTURAELECTRONICA","ECOMMERCE"
"FACTURAELECTRONICA","FacturacionElectronica"
"FACTURAELECTRONICA","LimitesDeConsumo"
"FACTURAELECTRONICA","RegistroLiquidacionConsignaciones"
"FACTURAELECTRONICA","SENIAS"
"FACTURAELECTRONICADECREDITO","DESCUENTOS"
"FACTURAELECTRONICADECREDITO","DatosAdicionalesComprobantesA"
"FACTURAELECTRONICADECREDITO","Ecommerce"
"FACTURAELECTRONICADECREDITO","FacturacionElectronica"
"FACTURAELECTRONICADECREDITO","LimitesDeConsumo"
"FACTURAELECTRONICADECREDITO","RegistroLiquidacionConsignaciones"
"FACTURAELECTRONICADECREDITO","SENIAS"
"FACTURAELECTRONICADECREDITO","SERVICIOSALCLIENTE"
