entidad,atributo,tabla,campo,tipodato,longitud,decimales,alta,dominio,grupo,descripciongrupo,subgrupo,tiposubgrupo,descripcionsubgrupo,orden,etiqueta,etiquetacorta,claveprimaria,claveforanea,atributoscontrol,tipoespeciales,modulorequerido,busquedaordenamiento,aperturarango,quecontenga,muestrarelacion,nuevosugerido,valorsugerido,versioncampo,autocompletar,ayuda,imagen,ajustable,version,obligatorio,admitebusqueda,version_exe,version_zoo,version_cli,modo_avanzado,saltocampo,sumarizar,reservado,validamodificacion,mascara,campoinicial,formato,deshabilitado,unicidad,atributoforaneo,genhabilitar,validacion,despuesdeasignacion,clavecandidata,talonario,cond_tal,ordenreglanegocio,estetica,buscador,filtrobuscador,mantenerenrecepcion,validacomp,auditoria,ordennavegacion,tags,tooltip,esquema,etiquetaautodescriptiva
"itematributosimpo","Codigo","DisImpoAtri","iCod","C",40,0,F,"CODIGO",0,"",0,1,"",0,"Código","Código",T,"",""," ","",F,0,F,F,F,"","",F,"Codigo de atributo","",T,0,F,0,0.00,0,0,F,F,"",F,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"itematributosimpo","Area","DisImpoAtri","cArea","C",20,0,T,"CARACTER",0,"",0,1,"",1,"Área","Área",F,"",""," ","",F,0,F,F,F,"","",F,"Área del atributo","",T,0,T,0,0.00,0,0,F,F,"",F,F,"",F,"",F,F,"",F,"","this.Area = goLibrerias.TransformarCadenaCaracteres( this.Area )",0,"","",0,"","","",F,F,F,0,"","","",""
"itematributosimpo","Tipo","DisImpoAtri","cTipo","C",3,0,T,"CODIGO",0,"",0,1,"",2,"Tipo","Tipo",F,"TipoAtributosExportacion",""," ","",F,0,F,F,F,"="ATR"","",F,"Tipo del atributo","",T,0,F,0,0.00,0,0,F,T,"",F,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"itematributosimpo","TipoDetalle","DisImpoAtri","cTipDet","C",100,0,T,"CARACTER",0,"",0,1,"",3,"Descripción","Desc.",F,"",""," ","",F,0,F,T,F,"="Atributo"","",F,"Descripción del Tipo de Atributo","",T,0,F,0,0.00,0,0,F,T,"",F,F,"",F,"",F,F,"TIPO.DESCRIPCION",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"itematributosimpo","Atributo","DisImpoAtri","cAtributo","C",100,0,T,"CARACTER",0,"",0,1,"",4,"Contenido","Contenido",F,"",""," ","",F,0,F,F,F,"","",F,"Atributo a Exportar ( <EXP> ==> Expresión de formato )","",T,0,F,0,0.00,0,0,F,F,"",F,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"itematributosimpo","Orden","DisImpoAtri","nOrden","N",3,0,T,"NUMERICO",0,"",0,1,"",5,"Orden","Orden",F,"",""," ","",F,0,F,F,F,"","",F,"Orden de Atributos de Exportación","",T,0,F,0,0.00,0,0,F,F,"",F,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"itematributosimpo","Ancho","DisImpoAtri","nLong","N",3,0,T,"NUMERICO",0,"",0,1,"",6,"Ancho","Ancho",F,"",""," ","",F,0,F,F,F,"","",F,"Ancho de campo ( solo cuando no hay delimitador )","",T,0,F,0,0.00,0,0,F,F,"",F,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"itematributosimpo","Conversion","DisImpoAtri","cConv","C",40,0,T,"CODIGO",0,"",0,1,"",7,"Conversión","Conversión",F,"conversion",""," ","",F,0,F,F,F,"","",F,"Conversión de Exportación para aplicar al valor del atributo","",T,0,F,0,0.00,0,0,F,F,"",F,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"itematributosimpo","Formato","DisImpoAtri","cFormato","C",40,0,T,"CODIGO",0,"",0,1,"",8,"Formato","Formato",F,"FormatoExportacion",""," ","",F,0,F,F,F,"","",F,"Formato de Exportación para aplicar al atributo","",T,0,F,0,0.00,0,0,F,F,"",F,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"itematributosimpo","Condicion","DisImpoAtri","cCondicion","C",40,0,T,"CARACTER",0,"",0,1,"",9,"Condición","Cond.",F,"",""," ","",F,0,F,F,F,"","",F,"Condición del atributo para que sea importado","",T,0,F,0,0.00,0,0,F,F,"",F,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
