entidad,atributo,tabla,campo,tipodato,longitud,decimales,alta,dominio,grupo,descripciongrupo,subgrupo,tiposubgrupo,descripcionsubgrupo,orden,etiqueta,etiquetacorta,claveprimaria,claveforanea,atributoscontrol,tipoespeciales,modulorequerido,busquedaordenamiento,aperturarango,quecontenga,muestrarelacion,nuevosugerido,valorsugerido,versioncampo,autocompletar,ayuda,imagen,ajustable,version,obligatorio,admitebusqueda,version_exe,version_zoo,version_cli,modo_avanzado,saltocampo,sumarizar,reservado,validamodificacion,mascara,campoinicial,formato,deshabilitado,unicidad,atributoforaneo,genhabilitar,validacion,despuesdeasignacion,clavecandidata,talonario,cond_tal,ordenreglanegocio,estetica,buscador,filtrobuscador,mantenerenrecepcion,validacomp,auditoria,ordennavegacion,tags,tooltip,esquema,etiquetaautodescriptiva
"itemcomprobante","Codigo","CompAfe","Codigo","C",10,0,F,"CARACTER",0,"",0,1,"",0,"","",T,"",""," ","",F,0,F,F,F,"","",F,"","",T,0,F,0,7.00,0,0,F,F,"",T,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"itemcomprobante","TipoComprobante","CompAfe","AfeTipoCom","N",2,0,F,"CARACTER",0,"",0,1,"",0,"Comprobante","Comp.",F,"",""," ","",F,0,F,F,F,"","",F,"Tipo de comprobante","",T,0,T,0,7.00,0,0,F,F,"",T,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"itemcomprobante","TipoCompCaracter","CompAfe","AfeComprob","C",100,0,T,"CARACTER",0,"",0,1,"",1,"Comprobante","Comp.",F,"",""," ","",F,0,F,F,F,"","",F,"Tipo de comprobante","",T,0,T,0,7.00,0,0,F,F,"",T,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"itemcomprobante","Letra","CompAfe","AfeLETRA","C",1,0,F,"CARACTER",0,"",0,1,"",2,"Letra","Let.",F,"",""," ","",F,0,F,F,F,"","",F,"Letra del comprobante","",T,0,T,0,7.00,0,0,F,F,"",T,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"itemcomprobante","PuntoDeVenta","CompAfe","AfePTOVEN","N",4,0,F,"NUMERICO",0,"",0,1,"",3,"Punto de Venta","Pto. de Venta",F,"",""," ","",F,0,F,F,F,"","",F,"Punto de venta del comprobante","",T,0,T,0,7.00,0,0,F,F,"",T,F,"9999",F,"LZ",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"itemcomprobante","Numero","CompAfe","AfeNUMCOM","N",8,0,F,"NUMERICO",0,"",0,1,"",4,"Número","Número",F,"",""," ","",F,0,F,F,F,"","",F,"Número del comprobante","",T,0,T,0,7.00,0,0,F,F,"",T,F,"99999999",F,"LZ",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"itemcomprobante","Fecha","CompAfe","afefecha","D",8,0,T,"FECHA",0,"",0,1,"",5,"Fecha","Fecha",F,"",""," ","",F,0,F,F,F,"","",F,"Fecha","",T,0,T,0,7.00,0,0,F,F,"",T,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"itemcomprobante","Total","CompAfe","afetotal","N",9,2,T,"NUMERICO",0,"",0,1,"",6,"Monto","Monto",F,"",""," ","",F,0,F,F,F,"","",F,"Monto del comprobante","",T,0,F,0,7.00,0,0,F,F,"",T,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"itemcomprobante","Vendedor","CompAfe","afevend","C",4,0,F,"CARACTER",0,"",0,1,"",7,"Vendedor","Vend",F,"",""," ","",F,0,F,F,F,"","",F,"Vendedor","",T,0,F,0,7.00,0,0,F,F,"",T,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"itemcomprobante","Tipo","CompAfe","afetipo","C",15,0,T,"CARACTER",0,"",0,1,"",8,"Tipo","Tipo",F,"",""," ","",F,0,F,T,F,"","",F,"Tipo de Relación","",T,0,T,0,0.00,0,0,F,F,"",T,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"itemcomprobante","Afecta","CompAfe","Afecta","N",9,0,F,"NUMERICO",0,"",0,1,"",9,"Afecta","Afe.",F,"",""," ","",F,0,F,F,F,"","",F,"Afectacion","",T,0,F,0,0.00,0,0,F,F,"",T,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
