entidad,atributo,tabla,campo,tipodato,longitud,decimales,alta,dominio,grupo,descripciongrupo,subgrupo,tiposubgrupo,descripcionsubgrupo,orden,etiqueta,etiquetacorta,claveprimaria,claveforanea,atributoscontrol,tipoespeciales,modulorequerido,busquedaordenamiento,aperturarango,quecontenga,muestrarelacion,nuevosugerido,valorsugerido,versioncampo,autocompletar,ayuda,imagen,ajustable,version,obligatorio,admitebusqueda,version_exe,version_zoo,version_cli,modo_avanzado,saltocampo,sumarizar,reservado,validamodificacion,mascara,campoinicial,formato,deshabilitado,unicidad,atributoforaneo,genhabilitar,validacion,despuesdeasignacion,clavecandidata,talonario,cond_tal,ordenreglanegocio,estetica,buscador,filtrobuscador,mantenerenrecepcion,validacomp,auditoria,ordennavegacion,tags,tooltip,esquema,etiquetaautodescriptiva
"ravelli","Cliente","Rave","FPerson","C",5,0,T,"CODIGOCLIENTECOMPROBANTE",0,"",0,1,"",0,"Cliente","Cliente",F,"CLIENTE",""," ","",T,0,T,F,F,"","",F,"Código de cliente.","",F,0,T,1,7.00,0,0,F,F,"",T,T,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"ravelli","ComprobanteFiscal","Rave","FCOMPFIS","L",1,0,F,"SINOBOOL",0,"",0,1,"",0,"","",F,"",""," ","",F,0,F,F,F,"","",F,".","",F,0,F,0,7.00,0,0,F,F,"",T,T,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"ravelli","FechaModificacion","Rave","FD2","D",8,0,F,"FECHA",0,"",0,1,"",0,"","",F,"",""," ","",F,0,F,F,F,"","",F,".","",F,0,F,0,7.00,0,0,F,F,"",T,T,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"ravelli","Hora","Rave","FHORA","C",8,0,F,"CARACTER",0,"",0,1,"",0,"","",F,"",""," ","",F,0,F,F,F,"","",F,".","",F,0,F,0,7.00,0,0,F,F,"",T,T,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"ravelli","SimboloMonetarioComprobante","Rave","SimbMon","C",3,0,F,"CARACTER",0,"",0,1,"",0,"","",F,"",""," ","",F,0,F,F,F,"","",F,".","",F,0,F,0,7.00,0,0,F,F,"",T,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"ravelli","SubtotalBruto","Rave","FSubTOT","N",8,2,F,"NUMERICO",0,"",0,1,"",0,"","",F,"",""," ","",F,0,F,F,F,"","",F,".","",F,0,F,0,7.00,0,0,F,F,"",T,T,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"ravelli","SubtotalNeto","Rave","fSubToN","N",8,2,F,"NUMERICO",0,"",0,1,"",0,"","",F,"",""," ","",F,0,F,F,F,"","",F,".","",F,0,F,0,7.00,0,0,F,F,"",T,T,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"ravelli","TipoComprobante","Rave","FACTTIPO","N",2,0,F,"NUMERICO",0,"",0,1,"",0,"","",F,"",""," ","",F,0,F,F,F,"=11","",F,".","",F,0,F,0,7.00,0,0,F,F,"",T,T,"",F,"",F,F,"",F,"","",1,"","",0,"","","",F,F,F,0,"","","",""
"ravelli","signodemovimiento","Rave","signomov","N",2,0,F,"NUMERICO",0,"",0,0,"",0,"","",F,"",""," ","",F,0,F,F,T,"1","",F,".","",F,0,T,0,7.00,0,0,F,F,"",T,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
"ravelli","anulado","Rave","Anulado","L",1,0,F,"SINOBOOL",0,"",0,1,"",0,"Esta anulado","Anulado",F,"",""," ","",F,0,F,F,F,"","",F,"Indeca anulado.","",F,0,F,0,0.00,0,0,F,F,"",T,F,"",F,"",F,F,"",F,"","",0,"","",0,"","","",F,F,F,0,"","","",""
