entidad,componente
"Alfano","PruebaBelen1"
"Alfano","PruebaBelen2"
"Alfano","lulifernandez"
"Conte","PruebaBelen1"
"EMILIAATTIAS","PruebaBelen1"
"FLORDELAV","Chulo"
"FLORDELAV","Plumas"
"ITEMARTICULOSVENTAS","STOCK"
"ITEMCACHAS","HIJO4"
"ITEMCACHAS","HIJO5"
"ITEMCACHAS","PruebaBelen1"
"ITEMCACHAS","PruebaBelen2"
"ITEMCACHAS","PruebaBelen3"
"ITEMMATAMBRE4","PruebaBelen1"
"MARIABELENALVAREZ","Abuelo"
"MARIABELENALVAREZ","PruebaBelen1"
"MARIABELENALVAREZ","PruebaBelen2"
"MARIABELENALVAREZ","PruebaBelen3"
"NelidaRoca","PruebaBelen2"
"PAMPITA","Caja"
