componente,descripcion,graba,version_exe,version_zoo,version_cli,entidad,orden,combinacion,componentesrelacionados,herencia
"caja","Componente Caja",T,0.00,0,0,"",3,"","",""
"Valores","Componente Valores",T,0.00,0,0,"",6,"","",""
"FacturacionElectronica","Componente Facturacion Electronica",F,0.00,0,0,"CAE",16,"","",""
"Cajero","Componente Cajero",T,0.00,0,0,"CajaSaldos,MovimientoDeCaja",5,"","CuentaCorrienteValores,Valores",""
"ChequesDeTerceros","Componente Cheques de Terceros",T,0.00,0,0,"ComprobanteDeCaja",13,"ComprobanteDeCaja","","ComponenteCheques"
"CuentaCorriente","Componente Cuenta Corriente",T,0.00,0,0,"CtaCte",4,"CtaCte","",""
"CtaCteItemRecibo","Componente CtaCte Item Recibo",T,0.00,0,0,"CtaCte",8,"CtaCte","","CuentaCorrienteVentasBase"
"CuentaCorrienteValoresVentas","Componente CtaCte Item Valores",T,0.00,0,0,"CtaCte",9,"CtaCte","","CuentaCorrienteVentasBase"
"CuentaCorrienteValores","Componente Cuenta Corriente Valores",T,0.00,0,0,"CtaCte",17,"CtaCte","CuentaCorrienteValoresVentas,CuentaCorrienteValoresCompras",""
"CuentaCorrienteValoresCompras","Componente CtaCte Item Valores",T,0.00,0,0,"CtaCteCompra",18,"CtaCteCompra","","CuentaCorrienteComprasBase"
"ActulizarVencimientoEnTarea","Componente fecha vencimiento en tareas",T,0.00,0,0,"INTERACCIONCONCLIENTE",20,"","",""
"AsignacionGrupoComunicacionesASeries","Componente Asignación grupo comunicaciones a series",T,0.00,0,0,"ZLALTAGRUPOCOM",20,"","",""
"Servicios","Componente Item de Servicios",T,0.00,0,0,"ZLITEMSSERVICIOS,RELACIONTIIS,COMASIGITEMSERESQCOM,ZLSERVICIOSLOTebaja",7,"ZLITEMSSERVICIOS","",""
"RSIncobrableAprob","Componente Razón Social Incobrable Aprobación",T,0.00,0,0,"ZLSERVICIOSLOTEBAJA",20,"","",""
"CambioRazonSocial","Componente Cambio Razón Social",T,0.00,0,0,"ZLSERVICIOSLOTEBAJA,ZLSERVICIOSLOTE,ZLVINCULACIONITEMS",19,"","",""
"Cheques","Componente Cheques",T,0.00,0,0,"cheque",11,"cheque","","ComponenteValores"
"EsquemaComision","Componente Esquema Comisión",T,0.00,0,0,"comasigitemseresqcom",10,"","",""
"Comunicacion","Componente Comunicación",T,0.00,0,0,"grupocomunicacion",1,"","",""
"precios","Componente Precios",T,0.00,0,0,"preciodearticulo",2,"preciodearticulo","",""
