entidad,descripcion,titulo,icono,filtro,version_exe,version_zoo,version_cli,formulario,tipo,version,herencia,kontroler,orden,ubicaciondb,usaguid,centraliza,comportamiento,identificador,modulos,formatodescripcion,versionminimaderecepcion,versionminimadeemision
"ACCESOAOBJETO","Acceso a objeto","Acceso a objeto","","",7.00,0,0,F,"E",2,"","",0,"",F,F,"","AO","B","","",""
"ACCESOTEMPORALADATOSDFCLOUD","Acceso temporal a datos de Dragonfish Cloud","Acceso temporal a datos de Dragonfish Cloud","","",0.00,0,0,T,"E",2,"","",0,"",F,F,"","ADC","B","","",""
"ACCIONESAUTOMATICAS","Acciones automáticas","Acciones automáticas","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","AA","B","","",""
"ACCIONESDELSGC","Acciones del SGC","Acciones del SGC","","",0.00,0,0,T,"E",2,"","",0,"",F,F,"","726","B","","",""
"ACCIONESDEMAIL","Acciones de Mail","Acciones de mail","","",0.00,0,0,T,"E",2,"","",0,"",F,F,"","605","B","","",""
"ADJUNTO","Adjunto de un mail","Adjunto de un mail","","",7.00,0,0,F,"E",2,"","",1,"",F,F,"T","173","B","","",""
"ADMACCIONES","ADM - Acciones","ADM - Acciones","","",0.00,0,0,T,"E",2,"","",1,"",F,F,"T","110","B","","",""
"ADMAPROBPRESUP","Comprobante de aprobación de presupuestos internos","Comprobante de aprobación de presupuestos internos","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","696","B","","",""
"ADMARTICPA","ADM - Artículos de Compra","ADM - Artículos de compra","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","321","B","this.Codigo","",""
"ADMCATEGORIASCPA","ADM - Categorías de Compras","ADM - Categorías de compras","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","318","B","this.Codigo","",""
"ADMCENTROCOSTOCPA","ADM - Centros de Costos de Compras","ADM - Centros de costos de compras","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","316","B","this.Codigo","",""
"ADMCUENTASCONTABLES","ADM - Cuentas Contables","ADM - Cuentas contables","","",0.00,0,0,T,"E",2,"","",0,"",F,F,"","443","B","this.Ccod","",""
"ADMINISTRADORTEMPORALCOMPANYZNUBE","Administradores temporales de company de zNube","Administradores temporales de company de zNube","","",0.00,0,0,T,"E",2,"","",0,"",F,F,"","921","B","","",""
"ADMIVASCPA","ADM - Tipos de IVA","ADM - Tipos de IVA","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","320","B","this.Codigo","",""
"ADMNORMDEUDACLIENTE","ADM - Normalización de Deuda de Clientes","ADM - Normalización de deuda de clientes","","",0.00,0,0,T,"E",2,"","",0,"",F,F,"","649","B","","",""
"ADMPRESUP","Presupuestos internos","Presupuestos internos","","",0.00,0,0,T,"E",2,"","",0,"",F,F,"","503","B","","",""
"ADMREGARQCAJA","ADM - Registro de Arqueos de Caja","ADM - Registro de arqueos de caja","","",0.00,0,0,T,"E",2,"","",0,"",F,F,"","299","B","","",""
"ADMRUBROCPA","ADM - Rubros de Compras","ADM - Rubros de compras","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","317","B","this.Codigo","",""
"ADMSOLICITUDFACTURACION","ADM - Solicitud de Proceso de Facturación","ADM - Solicitud de proceso de facturación","","",0.00,0,0,T,"E",2,"","",0,"",F,F,"","365","B","","",""
"ADMSOLICITUDMAILFACTCBU","ADM - Solicitud de Generación de Mails de CBU","ADM - Solicitud de generación de mails de CBU","","",0.00,0,0,T,"E",2,"","",0,"",F,F,"","366","B","","",""
"ADMSOLICITUDMAILFACTCTACTE","ADM - Solicitud de Generación de Mails de Cta Cte","ADM - Solicitud de generación de mails de cta cte","","",0.00,0,0,T,"E",2,"","",0,"",F,F,"","368","B","","",""
"ADMSOLICITUDMAILFACTRECHAZOS","ADM - Solicitud de Generación de Mails de Rechazos","ADM - Solicitud de generación de mails de rechazos","","",0.00,0,0,T,"E",2,"","",0,"",F,F,"","367","B","","",""
